,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",1.2581904345137087e-06,0.00020145616482182487,4.249906101149495e-08,0.0
"[45.0, 5.0, 75.0, 35.0]",0.0,0.0,0.0,0.0
"[85.0, 5.0, 115.0, 35.0]",0.0,-0.0199,0.0,0.0
terminal,0.0,0.0,0.0,0.0
"[45.0, 45.0, 75.0, 75.0]",0.0,-0.01,2.384360310087784e-07,-0.01
"[125.0, 5.0, 155.0, 35.0]",0.0,0.0,0.0,0.0
"[125.0, 45.0, 155.0, 75.0]",0.0,0.0,0.0,0.0
"[125.0, 85.0, 155.0, 115.0]",0.0,0.0,0.058519850599,0.0
"[125.0, 125.0, 155.0, 155.0]",0.0013144028445,0.0,0.0,0.0
"[85.0, 125.0, 115.0, 155.0]",0.5786657778452318,0.005091918058873693,0.0012899947054818507,1.5838407900000004e-05
"[5.0, 45.0, 35.0, 75.0]",1.4302692796869105e-12,0.0015642584912652089,1.550726556881083e-05,9.28437125920763e-10
"[5.0, 85.0, 35.0, 115.0]",4.892587618001386e-08,0.010053053900774968,9.0222200997129e-08,-0.0199
"[5.0, 125.0, 35.0, 155.0]",0.00012319562476095991,0.0003761861034661045,0.0003691436300512228,0.05057979148596309
"[45.0, 125.0, 75.0, 155.0]",-0.0199,6.805007649044602e-05,0.00024930785606218706,0.20258728462433592
